0.005,46.2
0.01,46.4
0.015,48.6
0.02,47.8
0.025,42.5
0.03,47.9
0.035,43.3
0.04,43.3
0.045,45.7
0.05,46.8
0.055,47.3
0.06,45.7
0.065,45.7
0.07,46.1
0.075,43.5
0.08,42.4
0.085,42.4
0.09,46.5
0.095,43.0
0.1,44.9
0.105,58.5
0.11,55.3
0.115,46.8
0.12,56.7
0.125,42.7
0.13,44.5
0.135,43.7
0.14,45.8
0.145,45.6
0.15,45.6
0.155,44.1
0.16,43.9
0.165,46.5
0.17,45.8
0.175,43.6
0.18,44.1
0.185,43.8
0.19,60.0
0.195,44.7
0.2,45.0
0.205,48.5
0.21,44.5
0.215,45.2
0.22,43.9
0.225,44.6
0.23,46.4
0.235,42.3
0.24,45.8
0.245,44.9
0.25,43.6
0.255,47.6
0.26,50.1
0.265,47.1
0.27,47.2
0.275,48.8
0.28,43.3
0.285,44.4
0.29,46.4
0.295,43.4
0.3,45.2
0.305,44.6
0.31,43.6
0.315,47.1
0.32,45.3
0.325,45.4
0.33,52.2
0.335,47.7
0.34,45.4
0.345,46.7
0.35,44.0
0.355,45.7
0.36,43.9
0.365,45.6
0.37,45.5
0.375,44.9
0.38,48.0
0.385,45.7
0.39,44.3
0.395,50.3
0.4,43.8
0.405,47.5
0.41,46.0
0.415,47.2
0.42,45.4
0.425,45.2
0.43,45.6
0.435,48.0
0.44,46.3
0.445,44.4
0.45,44.6
0.455,45.1
0.46,44.0
0.465,44.2
0.47,42.6
0.475,42.7
0.48,44.6
0.485,42.9
0.49,46.0
0.495,44.3
0.5,44.8
0.505,42.0
0.51,44.7
0.515,42.5
0.52,42.1
0.525,43.9
0.53,42.9
0.535,44.1
0.54,44.3
0.545,47.5
0.55,44.4
0.555,44.5
0.56,41.9
0.565,41.8
0.57,39.8
0.575,44.4
0.58,43.1
0.585,42.6
0.59,44.5
0.595,41.2
0.6,42.7
0.605,45.9
0.61,44.1
0.615,43.1
0.62,45.3
0.625,41.7
0.63,44.7
0.635,41.6
0.64,42.1
0.645,41.1
0.65,40.3
0.655,43.5
0.66,43.0
0.665,55.3
0.67,44.8
0.675,44.2
0.68,49.6
0.685,46.3
0.69,46.5
0.695,44.1
0.7,46.2
0.705,45.4
0.71,39.8
0.715,41.5
0.72,44.2
0.725,42.3
0.73,40.2
0.735,41.9
0.74,40.1
0.745,42.6
0.75,39.1
0.755,40.3
0.76,41.7
0.765,40.4
0.77,42.8
0.775,43.5
0.78,43.9
0.785,40.8
0.79,42.0
0.795,40.6
0.8,41.6
0.805,40.8
0.81,43.4
0.815,39.3
0.82,39.2
0.825,42.4
0.83,40.0
0.835,39.9
0.84,43.9
0.845,41.1
0.85,42.9
0.855,42.0
0.86,40.1
0.865,40.4
0.87,41.4
0.875,40.1
0.88,41.8
0.885,41.9
0.89,44.6
0.895,41.0
0.9,44.9
0.905,43.0
0.91,40.8
0.915,41.3
0.92,39.9
0.925,39.0
0.93,42.8
0.935,39.3
0.94,40.7
0.945,42.3
0.95,39.5
0.955,41.2
0.96,42.7
0.965,42.7
0.97,39.5
0.975,41.8
0.98,39.3
0.985,42.5
0.99,39.4
0.995,41.2
1.0,41.1
1.005,39.7
1.01,40.8
1.015,42.5
1.02,42.1
1.025,40.5
1.03,42.8
1.035,39.5
1.04,42.2
1.045,42.8
1.05,43.1
1.055,40.7
1.06,41.8
1.065,41.4
1.07,41.0
1.075,42.7
1.08,43.3
1.085,43.1
1.09,42.1
1.095,42.6
1.1,39.9
1.105,41.8
1.11,39.0
1.115,42.2
1.12,39.0
1.125,42.5
1.13,40.0
1.135,38.9
1.14,42.6
1.145,42.8
1.15,41.5
1.155,39.4
1.16,41.8
1.165,39.6
1.17,42.2
1.175,39.3
1.18,42.4
1.185,39.6
1.19,39.3
1.195,42.7
1.2,42.0
1.205,44.0
1.21,41.9
1.215,43.3
1.22,41.9
1.225,42.5
1.23,40.6
1.235,43.3
1.24,40.8
1.245,40.6
1.25,41.7
1.255,39.6
1.26,40.2
1.265,45.9
1.27,43.1
1.275,41.0
1.28,41.9
1.285,39.8
1.29,41.3
1.295,39.8
1.3,41.9
1.305,41.4
1.31,39.9
1.315,41.8
1.32,42.5
1.325,42.7
1.33,39.3
1.335,43.3
1.34,41.3
1.345,44.7
1.35,45.2
1.355,45.4
1.36,43.2
1.365,42.9
1.37,48.1
1.375,48.0
1.38,44.0
1.385,40.2
1.39,43.1
1.395,40.1
1.4,41.3
1.405,40.2
1.41,41.7
1.415,40.6
1.42,40.9
1.425,44.2
1.43,46.6
1.435,41.3
1.44,44.6
1.445,42.4
1.45,42.7
1.455,43.4
1.46,44.0
1.465,50.0
1.47,42.4
1.475,43.3
1.48,44.1
1.485,45.0
1.49,48.0
1.495,46.3
1.5,46.9
